code,title,description,language
REG,Regional Development,RTD activities related to regional development and the restructuring of economic sectors.,en
REG,Sviluppo regionale,,it
REG,Desarrollo regional,,es
ROB,Robotyka,,pl
ROB,Robotik,,de
ROB,Robotique,,fr
ROB,Robotics,,en
ROB,Robotica,,it
ROB,Rob�tica,,es
RSE,Odnawialne zr�dla energii,,pl
RSE,Regenerative Energietr�ger,,de
RSE,Sources d'�nergie renouvelables,,fr
RSE,Renewable Sources of Energy,Tidal wave and wind energy; hydro-electric power; geothermal energy; energy from biomass; solar energy; photovoltaics; unconventional and alternative energies.,en
RSE,Fonti di energia rinnovabile,,it
RSE,Fuentes de energ�a renovable,,es
RWA,Odpady radioaktywne,,pl
RWA,Radioaktive Abf�lle,,de
RWA,D�chets radioactifs,,fr
RWA,Radioactive Waste,Management and storage of radioactive waste; radioactive waste treatment; disposal in deep land or sub-seabed formations; remote handling; container materials and matrices.,en
RWA,Scorie radioattive,,it
RWA,Residuos radiactivos,,es
SAF,Bezpieczenstwo,,pl
SAF,Sicherheit,,de
SAF,S�curit�,,fr
SAF,Safety,Safety engineering; safety at work; assessment of risk; reliability of components and systems; industrial hazards;; natural hazards; transportation of hazardous materials; accident analysis and reporting.,en
SAF,Sicurezza,,it
SAF,Seguridad,,es
SCI,Badania Naukowe,,pl
SCI,Wissenschaftliche Forschung,,de
SCI,Recherche scientifique,,fr
SCI,Scientific Research,General scientific and industrial research;or research not included elsewhere.,en
SCI,Ricerca scientifica,,it
SCI,Investigaci�n cient�fica,,es
SDT,Zr�wnowa?ony rozw�j,,pl
SDT,Nachhaltige Entwicklung,,de
SDT,D�veloppement durable,,fr
SDT,Sustainable development,,en
SDT,Sviluppo sostenibile,,it
SDT,Desarrollo sostenible,,es
SEA,Zasoby morza i rybol�wstwo,,pl
SEA,Meeressch�tze und Fischerei,,de
SEA,Ressources de la mer et p�che,,fr
SEA,Resources of the Sea and Fisheries,Marine science; oceanography; oceanology; exploitation of the seabed; fisheries; aquaculture.,en
SEA,Risorse del mare e Pesca,,it
SEA,Recursos marinos y Pesca,,es
