rcn,code,title,language
665156,GARRI-7-2014,Science with and for Society National Contact Points (NCPs) in H2020,en
664656,COMPET-11-2014,Transnational and international cooperation among NCPs,en
664809,ICT-24-2015,Robotics,en
665204,PHC-33-2015,New approaches to improve predictive human safety testing,en
664705,EE-13-2015,Technology for district heating and cooling,en
664625,EINFRA-9-2015,e-Infrastructures for virtual research environments (VRE),en
665192,PHC-21-2015,Advancing active and healthy ageing with ICT: Early risk detection and intervention,en
665171,PHC-02-2015,Understanding disease: systems medicine,en
665081,DRS-09-2015,"Disaster Resilience & Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices",en
665072,DRS-01-2015,Crisis management topic 1: potential of current and new measures and technologies to respond to extreme weather and climate events,en
664932,GV-8-2015,Electric vehiclesâ enhanced performance and integration into the transport system and the grid,en
700077,NMBP-32-2016,Support for National Contact Points,en
704591,JTI-CS2-2019-CFP10-THT-08,Experimental and numerical noise assessment of distributed propulsion configurations,en
704419,LC-SC3-RES-2-2018,Disruptive innovation in clean energy technologies,en
704384,LC-MG-1-5-2019,Advancements in aerodynamics and innovative propulsion systems for quieter and greener aircrafts,en
704519,MSCA-IF-2018,Individual Fellowships,en
704383,MG-2-8-2019,Innovative applications of drones for ensuring safety in transport,en
704442,NFRP-2018-5,"Development of a roadmap for decommissioning research aiming at safety improvement, environmental impact minimisation and cost reduction",en
700658,ICT-26-2016,"System abilities, development and pilot installations",en
700614,LCE-01-2016-2017,"Next generation innovative technologies enabling smart grids, storage and energy system integration with increasing share of renewables: distribution network",en
700610,SCC-1-2016-2017,Smart Cities and Communities lighthouse projects,en
700149,BBI.VC2.R6-2015,Sustainable cellulose-based materials,en
705326,IBA-SC5-IRP-2020,International Resource Panel (IRP) Secretariat,en
705065,IBA-SEWP-WIRE-11-2020,WIRE XI Conference,en
705325,IBA-SC5-Portugal-2020,"Presidency event (conference): ''Climate action, environment, resource efficiency and raw materials' â Portugal,  2021",en
705071,IBA-SC1-Presidency-2020,Presidency events â Innovation for better ageing,en
704142,BBI.2018.SO3.R10,Develop bio-based packaging products that are biodegradable/ compostable and/or recyclable,en
704249,SESAR-IR-VLD-WAVE2-02-2019,PJ.20 W2 Master Planning,en
704252,SESAR-IR-VLD-WAVE2-01-2019,"PJ.19 W2 Content Integration, Performance Management and Business Case Development",en
